actual_price,predicted_price
12499999.999999985,11204192.374620644
10599999.999999996,8491392.650980147
2799000.0000000014,3169641.981688143
2400000.000000001,2038839.4959692964
9.000000000000002,8.999999999999927
9.000000000000002,8.999999999999927
3700000.000000002,4581816.484407384
13000000.000000013,11693325.105096584
7989999.999999995,6672239.934224146
7500000.000000002,16332016.043169033
1400000.0000000007,1715586.1776697813
9290000.000000007,9097966.820610667
7500000.000000002,7050349.502176416
7500000.000000002,6702108.441059126
14800000.000000004,8880815.364067437
7500000.000000002,7981779.369807489
9.000000000000002,8.999999999999936
9590000.000000007,5104603.121088523
2499999.9999999995,2533312.2516828394
39499999.999999985,38054085.13688366
18500000.000000034,17301754.500917286
9299999.999999993,7151674.677234322
11000000.000000013,18119257.060208574
9.000000000000002,8.999999999999936
6200000.000000005,6347445.311088474
1699999.9999999988,2171738.9760249886
11500000.000000019,12469001.520425703
6489999.999999998,10345023.451468037
8599999.999999996,6774782.967800615
4999999.999999999,4204206.027353625
9999999.999999996,10418347.942791782
6999999.999999995,8645435.629944386
11000000.000000013,7520447.347542529
9.000000000000002,8.999999999999927
14000000.00000001,12042291.089479936
9.000000000000002,16.798459533608238
4669999.999999999,5717770.458871828
8499999.999999998,5764123.166420535
32499999.999999955,28393279.55221357
7500000.000000002,6628606.835797471
5280000.000000002,4814743.452666722
24999999.999999963,15612787.924653875
6999999.999999995,10706861.51630726
16500000.000000013,10548985.906407593
6200000.000000005,8335771.143216589
6999999.999999995,7158064.109958495
9.000000000000002,8.999999999999936
9.000000000000002,8.999999999999936
6899999.999999999,6270685.579428055
5689999.999999997,10663580.158668496
9.000000000000002,8.999999999999936
22999999.999999974,18501511.947259527
5800000.0,3899036.9967338084
2714999.999999999,2929483.303478209
2199999.9999999995,2628126.8125320217
9.000000000000002,8.999999999999936
2925999.999999998,3324172.458423238
10399999.999999989,5616754.299787178
9.000000000000002,8.99999999999994
8820000.000000006,9038291.933954718
32499999.999999955,24143391.99283555
3299999.9999999986,4388053.869106324
8800000.000000006,18201671.664687265
8499999.999999998,1029332.4948492761
6499999.999999999,3305297.3802009556
6999999.999999995,6778533.719952706
7359999.9999999935,7325792.461441586
3200000.0000000023,3657237.971470946
8499999.999999998,2324110.1998998867
10499999.999999994,15800245.279246124
7700000.0000000065,6922199.165259693
12000000.000000007,9997300.598495137
57500000.00000004,49094732.25268173
2300000.0,2759411.8114477945
8999999.999999996,6591271.399845227
6999999.999999995,8875047.32903899
4999999.999999999,4172797.875057854
9800000.000000007,14755093.09144084
6350000.0,6765605.929754392
20599999.99999997,17352142.170461446
13499999.999999993,10735722.752139874
9.000000000000002,8.999999999999927
6999999.999999995,7853581.146566545
62500000.00000002,59306459.12132797
3400000.000000002,596494.3870649528
4500000.000000002,9371357.460114032
8999999.999999996,16982032.32651192
6306520.000000005,6303103.677646107
5918000.000000001,3370210.9114468675
4500000.000000002,4081867.0033608624
11290999.999999994,7540585.358854515
4999999.999999999,3276390.0124269747
3640000.0000000005,4296866.1056743385
7500000.000000002,6965308.88986646
2800000.000000002,3816965.8506844565
4500000.000000002,3594946.6652393653
3697199.9999999986,5283011.000904135
9.000000000000002,8.999999999999936
6433220.000000001,6222133.267895761
9.000000000000002,8.999999999999936
4352999.999999999,4050173.854033305
3000000.000000001,5527385.792843662
12000000.000000007,12646664.25663132
3499999.9999999995,8381573.578630811
14600000.00000001,14206495.24239325
6999999.999999995,8762585.636873515
9999999.999999996,9475472.233566746
4999999.999999999,5587033.015017532
9999999.999999996,18059342.40590664
20000000.000000015,25626635.430632316
5951750.000000005,4189366.126149532
44999999.999999985,5267050.205689986
4199999.999999997,9455802.74101462
5500000.000000001,11381989.841164721
9.000000000000002,149.73091719891767
9829999.99999999,8602569.562888514
5060000.000000001,9625053.898346914
3499999.9999999995,5216897.803790742
6800000.0,6080903.525490622
4500000.000000002,6030152.715668206
39999999.999999985,18974411.5958573
7800000.000000004,6734877.014715123
8999999.999999996,12231444.12218673
21590000.000000007,32828019.08575102
999999.9999999997,1863846.4323325125
